item,chinese,pinyin
1,無,wú
2,加,jiā
3,色,sè
4,素,sù
5,之,zhī
6,是,shì
7,拉,lā
8,差,chā
9,香,xiāng
10,甜,tián
11,辣,là
12,椒,jiāo
13,醬,jiàng
14,乃,năi
15,採,căi
16,用,yòng
17,特,tè
18,種,zhŏng
19,大,dà
20,紅,hóng
21,新,xīn
22,鮮,xiān
23,之,zhī
24,指,zhĭ
25,天,tiān
26,椒,jiāo
27,香,xiāng
28,蒜,suàn
29,精,jīng
30,製,zhì
31,而,ér
32,成,chéng
33,用,yòng
34,於,yú
35,調,diào
36,和,hé
37,各,gè
38,種,zhŏng
39,魚,yú
40,肉,ròu
41,麵,miàn
42,餃,jiăo
43,食,shí
44,料,liào
45,都,dōu
46,美,mĕi
47,味,wèi
48,可,kĕ
49,口,kŏu
50,且,qiĕ
51,久,jiŭ
52,藏,cáng
53,氣,qì
54,味,wèi
55,不,bù
56,變,biàn
57,品,pĭn
58,質,zhí
59,担,dān
60,保,băo
61,。,。
